,x,y,metric
0,-5.0,-5.0,2.615304177338961e-07
1,-5.0,-4.8734177215189876,2.8082157351051225e-07
2,-5.0,-4.746835443037975,3.009993356089904e-07
3,-5.0,-4.620253164556962,3.220530474224173e-07
4,-5.0,-4.493670886075949,3.439664598246894e-07
5,-5.0,-4.367088607594937,3.667174597911406e-07
6,-5.0,-4.240506329113924,3.902778342000393e-07
7,-5.0,-4.113924050632911,4.14613073809419e-07
8,-5.0,-3.9873417721518987,4.3968222222235085e-07
9,-5.0,-3.8607594936708862,4.6543777438975924e-07
10,-5.0,-3.7341772151898733,4.918256288522566e-07
11,-5.0,-3.6075949367088604,5.187850974917108e-07
12,-5.0,-3.481012658227848,5.462489760512637e-07
13,-5.0,-3.3544303797468356,5.741436780929434e-07
14,-5.0,-3.2278481012658227,6.023894344001076e-07
15,-5.0,-3.10126582278481,6.3090055910443e-07
16,-5.0,-2.9746835443037973,6.595857830326311e-07
17,-5.0,-2.848101265822785,6.883486539362499e-07
18,-5.0,-2.721518987341772,7.170880024000271e-07
19,-5.0,-2.594936708860759,7.456984713331359e-07
20,-5.0,-2.4683544303797467,7.740711060461669e-07
21,-5.0,-2.3417721518987342,8.020940010196814e-07
22,-5.0,-2.2151898734177213,8.296529985921348e-07
23,-5.0,-2.0886075949367084,8.566324339510683e-07
24,-5.0,-1.962025316455696,8.829159200168212e-07
25,-5.0,-1.8354430379746836,9.083871650773613e-07
26,-5.0,-1.7088607594936707,9.32930815380227e-07
27,-5.0,-1.5822784810126578,9.5643331432639e-07
28,-5.0,-1.4556962025316453,9.787837694528606e-07
29,-5.0,-1.3291139240506329,9.998748180468003e-07
30,-5.0,-1.20253164556962,1.0196034820122884e-06
31,-5.0,-1.0759493670886071,1.037872002518696e-06
32,-5.0,-0.9493670886075947,1.0545886450013695e-06
33,-5.0,-0.8227848101265822,1.0696684652633336e-06
34,-5.0,-0.6962025316455698,1.083034027741016e-06
35,-5.0,-0.5696202531645564,1.0946160674449826e-06
36,-5.0,-0.443037974683544,1.1043540876634525e-06
37,-5.0,-0.31645569620253156,1.1121968862145486e-06
38,-5.0,-0.18987341772151822,1.1181030038433322e-06
39,-5.0,-0.06329113924050578,1.122041089269817e-06
40,-5.0,0.06329113924050667,1.1239901763908408e-06
41,-5.0,0.1898734177215191,1.123939870206502e-06
42,-5.0,0.31645569620253156,1.1218904391642252e-06
43,-5.0,0.4430379746835449,1.117852812772658e-06
44,-5.0,0.5696202531645573,1.1118484845150892e-06
45,-5.0,0.6962025316455698,1.1039093212690454e-06
46,-5.0,0.8227848101265831,1.0940772815964547e-06
47,-5.0,0.9493670886075956,1.0824040463888278e-06
48,-5.0,1.075949367088608,1.0689505664165023e-06
49,-5.0,1.2025316455696204,1.0537865323237246e-06
50,-5.0,1.3291139240506329,1.0369897735167422e-06
51,-5.0,1.4556962025316462,1.0186455931967981e-06
52,-5.0,1.5822784810126587,9.988460474822482e-07
